 ,Label,Distance,Scc1,Hoechst
1,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.000,80.733,422.719
2,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.035,103.885,408.575
3,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.071,108.100,416.598
4,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.106,89.532,429.134
5,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.141,55.858,434.408
6,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.176,26.840,455.268
7,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.212,18.528,504.854
8,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.247,36.535,577.431
9,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.282,76.711,653.181
10,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.318,138.446,737.703
11,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.353,222.396,859.234
12,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.388,330.544,1036.117
13,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.424,469.399,1258.088
14,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.459,628.600,1468.765
15,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.494,793.263,1622.536
16,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.529,915.294,1686.759
17,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.565,979.249,1684.634
18,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.600,956.019,1639.210
19,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.635,835.803,1555.632
20,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.671,666.379,1430.540
21,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.706,483.856,1288.253
22,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.741,326.405,1195.016
23,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.776,205.194,1182.604
24,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.812,136.021,1212.529
25,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.847,106.807,1225.806
26,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.882,103.496,1208.411
27,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.918,110.907,1198.562
28,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.953,110.093,1211.383
29,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.988,98.039,1213.605
30,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.023,84.653,1156.772
31,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.059,75.372,1055.872
32,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.094,76.410,955.142
33,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.129,82.185,866.731
