 ,Label,Distance,Scc1,Hoechst
1,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.000,62.771,489.993
2,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.035,75.805,500.148
3,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.071,85.579,524.925
4,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.106,90.025,583.470
5,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.141,92.509,665.248
6,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.176,103.606,733.172
7,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.212,130.649,757.752
8,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.247,169.674,731.131
9,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.282,204.216,671.147
10,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.318,215.494,614.075
11,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.353,200.677,598.571
12,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.388,177.635,650.202
13,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.424,176.300,759.492
14,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.459,219.565,874.273
15,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.494,308.404,957.304
16,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.529,423.561,1018.863
17,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.565,548.674,1096.551
18,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.600,681.116,1184.627
19,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.635,812.165,1244.667
20,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.671,915.359,1265.263
21,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.706,971.344,1268.504
22,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.741,956.230,1241.493
23,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.776,858.856,1172.149
24,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.812,694.570,1081.135
25,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.847,500.913,986.541
26,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.882,323.015,879.940
27,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.918,199.133,763.894
28,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.953,123.451,664.301
29,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.988,83.504,595.037
30,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.023,66.330,545.850
31,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.059,58.998,503.379
32,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.094,53.451,460.758
33,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.129,49.971,423.176
34,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.165,59.817,405.250
35,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.200,89.484,407.788
