 ,Label,Distance,Scc1,Hoechst
1,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.000,117.237,759.786
2,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.035,99.531,681.585
3,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.071,84.253,675.571
4,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.106,75.628,714.978
5,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.141,79.228,769.383
6,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.176,98.819,828.355
7,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.212,135.131,917.220
8,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.247,185.553,1066.935
9,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.282,248.933,1282.012
10,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.318,338.547,1541.627
11,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.353,464.460,1809.931
12,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.388,632.451,2052.813
13,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.424,831.996,2241.702
14,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.459,1031.944,2353.875
15,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.494,1172.161,2408.950
16,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.529,1217.611,2425.949
17,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.565,1169.721,2410.752
18,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.600,1068.987,2361.137
19,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.635,936.562,2265.375
20,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.671,791.902,2109.682
21,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.706,642.260,1884.352
22,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.741,495.132,1595.120
23,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.776,368.545,1301.817
24,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.812,272.694,1066.180
25,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.847,208.350,919.335
26,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.882,164.189,850.785
27,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.918,129.933,826.494
28,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.953,101.921,821.586
29,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.988,79.426,815.257
30,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.023,63.471,791.284
31,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.059,57.005,754.371
32,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.094,58.740,723.883
