 ,Label,Distance,Scc1,Hoechst
1,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.000,91.727,477.612
2,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.035,101.867,462.857
3,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.071,122.850,466.033
4,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.106,144.309,484.871
5,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.141,157.643,533.657
6,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.176,159.499,621.140
7,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.212,151.000,741.750
8,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.247,148.642,878.970
9,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.282,183.517,1036.794
10,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.318,294.420,1246.657
11,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.353,505.427,1517.741
12,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.388,805.714,1792.151
13,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.424,1150.394,1998.362
14,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.459,1480.506,2127.817
15,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.494,1742.822,2223.513
16,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.529,1892.285,2301.205
17,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.565,1896.026,2339.105
18,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.600,1754.448,2321.096
19,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.635,1505.622,2238.067
20,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.671,1195.829,2090.122
21,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.706,863.389,1905.863
22,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.741,547.644,1737.633
23,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.776,298.550,1609.529
24,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.812,146.694,1500.943
25,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.847,79.451,1372.817
26,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.882,59.045,1192.410
27,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.918,59.237,976.084
28,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.953,74.841,791.605
29,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,0.988,99.793,680.068
30,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.023,120.798,606.493
31,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.059,124.282,530.125
32,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.094,111.834,466.487
33,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.129,93.022,444.477
34,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.165,78.702,467.466
35,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.200,75.165,524.469
36,5176_Ctrl_plus_auxin_zoom5.8_6h_G1_cells-04-09.czi #1.tif_registered.tif,1.235,79.553,593.340
